Nome,Link Detalhes,Link Imagem
Marina’s Bar,https://comidadibuteco.com.br/buteco/marinas-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154422/marinas_essetremvoa_bh_2025_isaquerodrigues_unibh-7376-scaled.jpg
Mineiros Beer,https://comidadibuteco.com.br/buteco/mineiros-beer/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154514/mineirosbeer_costeladeromeu_bh_2025_isaquerodrigues_unibh-8592-scaled.jpg
Mulão,https://comidadibuteco.com.br/buteco/3177-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045206/mulao_mulle_bh_2025_fernandaoliveira_unibh-7464-scaled.jpg
Nosso Spetim,https://comidadibuteco.com.br/buteco/nosso-spetim/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045142/nonospetim_linguadedoisamores_bh_2025_isaquerodrigues_unibh-9340-scaled.jpg
O Fino do Alho,https://comidadibuteco.com.br/buteco/o-fino-do-alho/,https://comidadibuteco.com.br/wp-content/uploads/2025/03/ofinodoalho_sodeminas_bh_2025_isaquerodrigues_unibh-9054-scaled.jpg
Oratório Bar,https://comidadibuteco.com.br/buteco/oratorio-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155430/oratoriobar_costeladeadao_bh_2025_amandacantanhede_unibh-8929-scaled.jpg
Parada 10.95 Bar,https://comidadibuteco.com.br/buteco/parada-10-95-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155719/parada1095_bh_2025_amandacantanhede_unibh-8058-scaled.jpg
Parada do Sabor,https://comidadibuteco.com.br/buteco/parada-do-sabor/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045053/paradadosabor_coracaodoparada_bh_2025_isaquerodrigues_unibh-8637-scaled.jpg
Pé de Cana,https://comidadibuteco.com.br/buteco/pe-de-cana/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19155918/pedecana_eprata_bh_2025_isaquerodrigues_unibh-7883-scaled.jpg
Pé de Goiaba,https://comidadibuteco.com.br/buteco/3179-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044957/pedegoiaba_bodasdeprata_bh_2025_isaquerodrigues_unibh-8633-scaled.jpg
Planeta Lúpulo,https://comidadibuteco.com.br/buteco/planeta-lupulo/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160104/planetalupulo_cestinhadasgerais_bh_2025_isaquerodrigues_unibh-8557-scaled.jpg
PoiZé Bar e Petisqueira,https://comidadibuteco.com.br/buteco/poize-bar-e-petisqueira/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045021/poize_aparecidinhodoze_bh_2025_rodneycosta_unibh-7767-scaled.jpg
Prado Beer,https://comidadibuteco.com.br/buteco/prado-beer/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160250/pradobeer_amontadinho_bh_2025_isaquerodrigues_unibh-8981-scaled.jpg
Prosa Boa,https://comidadibuteco.com.br/buteco/prosa-boa/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160333/prosaboa_roendoateoosso_bh_2025_rodneycosta_unibh-7476-scaled.jpg
Quinteiro Bar e Restaurante,https://comidadibuteco.com.br/buteco/quinteiro-bar-e-restaurante/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170230/quinteirobar_voucomermeubolo_bh_2025_isaquerodrigues_unibh-8588-scaled.jpg
Quioxque Botequim Carioca,https://comidadibuteco.com.br/buteco/quioxque-butiquim-carioca/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170333/quioxque_estamosdeparabens_bh_2025_isaquerodrigues_unibh-7820-scaled.jpg
Quitandas da Tia Nice Bar,https://comidadibuteco.com.br/buteco/quitandas-da-tia-nice-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044911/quitandatianice_queceque_bh_2025_rodneycosta_unibh-7389-scaled.jpg
Rancho do Manoel,https://comidadibuteco.com.br/buteco/rancho-do-manoel/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171029/ranchodomanoel_trembaoso_bh_2025_rodneycosta_unibh-7453-scaled.jpg
Recanto Vovó Tela,https://comidadibuteco.com.br/buteco/5701-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044845/recantovovotela_de2510tmj_bh_2025_rodneycosta_unibh-9209-scaled.jpg
Regis Bar,https://comidadibuteco.com.br/buteco/regis-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044821/regisbar_trioparadadura_bh_2025_isaquerodrigues_unibh-8785-scaled.jpg
Rei do Peixe,https://comidadibuteco.com.br/buteco/rei-do-peixe/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10074117/oreidopeixe_bolinhobodasdeprata_bh_2025_rodneycosta_unibh-9259-scaled.jpg
Resenha da Naty,https://comidadibuteco.com.br/buteco/resenha-da-naty/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044659/resenhadanaty_trembaumdemasso_bh_2025_isaquerodrigues_unibh-8123-scaled.jpg
Restaurante Jorge Americano,https://comidadibuteco.com.br/buteco/restaurante-jorge-americano/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044742/jorgeamericano_rabadadojorge__bh_2025_isaquerodrigues_unih-7967-scaled.jpg
S.O.S PUB,https://comidadibuteco.com.br/buteco/s-o-s-pub/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044605/sospub_socorrodomineiro_bh_2025_amandacantanhede_unibh-8010-scaled.jpg
Santa Boemia,https://comidadibuteco.com.br/buteco/santa-boemia/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171327/santaboemia_sextoubb_bh_2025_rodneycosta_unibh-7592-scaled.jpg
Santuário Retrô,https://comidadibuteco.com.br/buteco/santuario-retro/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044516/santuarioretro_presentimretro_bh_2025_rodneycosta_unibh-8779-scaled.jpg
Seu Braz,https://comidadibuteco.com.br/buteco/seu-braz/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044541/seubraz_contrafileflambadonacachaca_bh_2025_isaquerodrigues_unibh-7921-scaled.jpg
Silvio’s Bar,https://comidadibuteco.com.br/buteco/silvios-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171521/silviosbar_frangonia_bh_2025_rodneycosta_unibh-7982-scaled.jpg
Sinhá Erozitha Bistrôteco,https://comidadibuteco.com.br/buteco/sinha-erozitha-bistroteco/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171610/sinhaerozitha_elasquera_bh_2025_isaquerodrigues_unibh-8251-scaled.jpg
Sô Bar,https://comidadibuteco.com.br/buteco/so-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044420/sobar_somio_bh_2025_rodneycosta_unibh-8449-scaled.jpg
Spetim,https://comidadibuteco.com.br/buteco/spetim/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171715/spetim_tanabocadopovo_bh_2025_rodneycosta_unibh-7565-scaled.jpg
Tanganica Art Bar,https://comidadibuteco.com.br/buteco/tanganica-art-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044450/tanganica_veganocolorido_bh_2025_isaquerodrigues_unibh-7903-scaled.jpg
The Butcher,https://comidadibuteco.com.br/buteco/the-butcher/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171820/thebutcher_paneladeprata_bh_2025_rodneycosta_unibh-8006-scaled.jpg
